processed-text,ensemble_sentiment_label
beginning god created heaven earth,positive
earth without form void darkness upon face deep spirit god moved upon face water,positive
god said let light light,positive
god saw light good god divided light darkness,negative
god called light day darkness called night evening morning first day,negative
god said let firmament midst water let divide water water,neutral
god made firmament divided water firmament water firmament,positive
god called firmament heaven evening morning second day,positive
god said let water heaven gathered together unto one place let dry land appear,positive
god called dry land earth gathering together water called sea god saw good,positive
god said let earth bring forth grass herb yielding seed fruit tree yielding fruit kind whose seed upon earth,positive
earth brought forth grass herb yielding seed kind tree yielding fruit whose seed kind god saw good,positive
evening morning third day,neutral
god said let light firmament heaven divide day night let sign season day year,positive
let light firmament heaven give light upon earth,positive
god made two great light greater light rule day lesser light rule night made star also,positive
god set firmament heaven give light upon earth,positive
rule day night divide light darkness god saw good,positive
evening morning fourth day,neutral
god said let water bring forth abundantly moving creature hath life fowl may fly earth open firmament heaven,positive
god created great whale every living creature moveth water brought forth abundantly kind every winged fowl kind god saw good,positive
god blessed saying fruitful multiply fill water sea let fowl multiply earth,positive
evening morning fifth day,neutral
god said let earth bring forth living creature kind cattle creeping thing beast earth kind,positive
god made beast earth kind cattle kind every thing creepeth upon earth kind god saw good,positive
god said let u make man image likeness let dominion fish sea fowl air cattle earth every creeping thing creepeth upon earth,negative
god created man image image god created male female created,neutral
god blessed god said unto fruitful multiply replenish earth subdue dominion fish sea fowl air every living thing moveth upon earth,positive
god said behold given every herb bearing seed upon face earth every tree fruit tree yielding seed shall meat,neutral
every beast earth every fowl air every thing creepeth upon earth wherein life given every green herb meat,positive
god saw every thing made behold good evening morning sixth day,positive
thus heaven earth finished host,positive
seventh day god ended work made rested seventh day work made,positive
god blessed seventh day sanctified rested work god created made,positive
generation heaven earth created day lord god made earth heaven,positive
every plant field earth every herb field grew lord god caused rain upon earth man till ground,positive
went mist earth watered whole face ground,neutral
lord god formed man dust ground breathed nostril breath life man became living soul,negative
lord god planted garden eastward eden put man formed,positive
ground made lord god grow every tree pleasant sight good food tree life also midst garden tree knowledge good evil,positive
river went eden water garden thence parted became four head,neutral
name first pison compasseth whole land havilah gold,positive
gold land good bdellium onyx stone,positive
name second river gihon compasseth whole land ethiopia,neutral
name third river hiddekel goeth toward east assyria fourth river euphrates,neutral
lord god took man put garden eden dress keep,positive
lord god commanded man saying every tree garden thou mayest freely eat,positive
tree knowledge good evil thou shalt eat day thou eatest thereof thou shalt surely die,negative
lord god said good man alone make help meet,positive
ground lord god formed every beast field every fowl air brought unto adam see would call whatsoever adam called every living creature name thereof,positive
